claim_id,claim_text,exact_value,display_value,source_file,source_sha256,source_selector,source_row_number,source_column,rounding,rounding_places,display_scale,qualifier,prohibited_interpretation
C101,"Cumulative-threshold XGBoost achieved the highest full-OOF macro-F1, 0.6255.",0.6254589405107375,0.6255,source_07.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""macro_f1"",""model_name"":""cumulative_threshold_xgboost""}",4,value,ROUND_HALF_EVEN,4,1,Highest applies only to macro-F1 among the nine evaluated systems.,Do not generalize this ranking to every metric or future population.
C102,"Cumulative-threshold XGBoost achieved the highest full-OOF balanced accuracy, 0.6745.",0.6745231336221923,0.6745,source_07.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""balanced_accuracy"",""model_name"":""cumulative_threshold_xgboost""}",3,value,ROUND_HALF_EVEN,4,1,Highest applies only to balanced accuracy among the nine evaluated systems.,Do not claim universal or statistically significant superiority.
C103,"Random Forest had the highest full-OOF quadratic weighted kappa, 0.6317.",0.6316782057286063,0.6317,source_07.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""quadratic_weighted_kappa"",""model_name"":""random_forest""}",108,value,ROUND_HALF_EVEN,4,1,"The ordering criterion is QWK, not macro-F1 or probability quality.",Do not call Random Forest the universally best model.
C104,"Random Forest had the lowest full-OOF ordinal MAE, 0.1583.",0.15833333333333333,0.1583,source_07.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""ordinal_mae"",""model_name"":""random_forest""}",106,value,ROUND_HALF_EVEN,4,1,"Lower is better, and this result does not determine other metric rankings.",Do not equate low ordinal MAE with complete error safety.
C105,"LightGBM had the lowest normalized ranked probability score, 0.0804.",0.08040618857328805,0.0804,source_07.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""ranked_probability_score"",""model_name"":""lightgbm""}",33,value,ROUND_HALF_EVEN,4,1,Lower is better and the claim applies to normalized RPS only.,Do not infer overall model superiority from one probability metric.
C106,"Nominal XGBoost had the lowest raw log loss, 0.5515.",0.5514626110693018,0.5515,source_07.csv,b7dcd0fa01f40c6d11450bb4afd32b1e768f7b301ca804674d8ae589f5a58edf,"{""dataset_key"":""inx_primary"",""metric"":""nll_log_loss"",""model_name"":""xgboost""}",141,value,ROUND_HALF_EVEN,4,1,Lower is better and the comparison precedes the predeclared sigmoid evaluation.,Do not present raw log-loss leadership as universal superiority.
C201,"Across five repeated nested-CV designs, XGBoost mean macro-F1 was 0.6288.",0.6287774897827731,0.6288,source_10.csv,f50bbd1bb89e479ccdeb3e15538ea5f4a5c2eeabad6ef3d6d40d5439384c2acf,"{""metric"":""macro_f1"",""model_name"":""xgboost""}",35,mean,ROUND_HALF_EVEN,4,1,The mean is descriptive across five repetitions and is not a confidence estimate.,Do not claim stable universal leadership or population-level certainty.
C202,"Across five repeated nested-CV designs, LightGBM mean macro-F1 was 0.6249.",0.6249382473038569,0.6249,source_10.csv,f50bbd1bb89e479ccdeb3e15538ea5f4a5c2eeabad6ef3d6d40d5439384c2acf,"{""metric"":""macro_f1"",""model_name"":""lightgbm""}",7,mean,ROUND_HALF_EVEN,4,1,LightGBM and XGBoost split repetition-level macro-F1 wins.,Do not infer a significant difference from the two descriptive means.
C203,Random Forest ranked first for QWK in 5 of 5 repetitions.,5,5,source_08.csv,dfd3c314b88ee8bb9113d11189ad8c1ae1e9538f9fa385f526dd261ae2eedfe1,"{""metric"":""quadratic_weighted_kappa"",""model_name"":""random_forest""}",24,winner_count,ROUND_HALF_EVEN,0,1,The stable winner statement applies only to QWK under this design.,Do not infer universal superiority or prospective stability.
C204,Cumulative-threshold XGBoost ranked first for balanced accuracy in 4 of 5 repetitions.,4,4,source_08.csv,dfd3c314b88ee8bb9113d11189ad8c1ae1e9538f9fa385f526dd261ae2eedfe1,"{""metric"":""balanced_accuracy"",""model_name"":""cumulative_threshold_xgboost""}",2,winner_count,ROUND_HALF_EVEN,0,1,One repetition was won by another model and no inferential test is attached.,Do not describe the ordering as invariant or statistically proven.
